last_score,study_duration,total_reviews,last_gap_days,days_until_next_revision
92.14,71.14,4,1.2,11.34
86.28,6.37,1,2.26,8.26
86.87,28.67,1,2.0,7.78
61.36,15.61,3,1.35,8.13
96.04,5.0,2,24.93,19.47
53.97,12.8,3,2.45,8.75
83.8,9.25,1,14.11,12.44
100.0,34.76,5,2.48,15.49
60.14,89.15,4,1.14,12.93
66.51,9.36,10,0.63,16.75
76.49,50.05,4,9.67,13.66
67.45,5.0,3,0.16,10.06
51.74,23.17,5,16.68,19.06
76.03,5.0,2,2.71,6.54
59.07,81.56,3,1.42,11.0
82.1,43.62,4,4.8,13.75
61.21,32.18,2,0.71,10.26
98.25,52.1,1,0.37,7.12
63.25,31.28,5,8.8,17.24
70.17,104.16,6,2.76,13.45
87.2,37.55,7,3.65,19.41
56.54,77.57,2,0.97,9.02
78.41,21.84,5,0.32,14.35
94.61,5.0,5,2.29,15.13
50.89,22.53,7,3.53,15.04
77.77,5.0,5,7.25,13.34
78.9,26.93,4,3.48,11.23
86.73,19.76,7,7.63,16.34
56.45,29.23,9,0.61,15.73
55.19,5.0,3,0.33,8.15
82.83,6.5,5,0.86,12.11
79.45,20.28,3,7.39,12.17
78.76,90.18,1,7.12,9.31
80.2,14.52,5,0.76,9.47
64.8,16.57,3,0.16,8.37
78.48,37.63,4,5.78,14.01
79.4,27.77,6,9.66,16.78
64.28,10.65,3,7.01,10.6
100.0,15.87,4,1.13,14.14
82.11,7.37,8,4.38,20.16
57.13,101.46,6,7.08,14.86
84.85,5.0,2,1.48,7.94
60.38,13.95,3,3.75,11.81
86.81,5.0,6,1.89,14.04
92.38,7.52,1,1.28,6.48
62.69,45.49,2,17.46,17.26
89.45,6.74,4,12.19,18.16
81.19,5.0,1,2.95,8.52
87.33,19.3,2,0.74,7.66
100.0,5.0,4,6.51,15.33
71.32,5.0,7,1.48,17.13
63.69,49.45,3,0.92,8.9
61.66,44.28,3,2.4,8.92
62.76,74.0,3,3.77,12.6
73.84,57.83,6,0.51,16.98
80.12,34.48,5,4.24,17.37
79.15,5.0,4,0.08,9.52
87.41,45.81,2,11.12,13.28
75.2,56.03,5,12.68,16.99
96.8,48.15,6,6.6,18.12
71.03,21.31,2,3.14,6.87
100.0,7.95,4,1.47,11.08
84.39,55.99,2,6.82,12.61
62.14,38.97,3,13.43,15.55
58.94,118.52,6,0.86,11.64
82.24,5.08,3,3.14,12.62
71.65,7.67,1,1.89,4.53
85.71,7.14,3,2.21,8.57
82.1,47.18,7,2.6,14.83
73.91,6.21,6,15.16,19.39
62.3,5.0,1,1.5,4.1
52.28,120.0,3,3.39,9.5
68.3,5.0,7,15.13,17.87
87.85,54.1,4,3.23,13.1
78.21,13.64,3,9.96,13.97
56.31,55.28,1,0.3,8.76
77.6,24.26,6,15.29,21.66
80.78,69.57,4,1.04,10.97
61.74,78.19,6,19.54,21.36
77.31,5.0,6,0.97,13.29
75.87,5.0,2,2.94,9.02
57.86,8.64,5,1.85,10.7
80.37,33.2,4,2.84,12.08
83.41,65.75,6,1.44,17.83
91.25,18.48,4,16.81,18.7
90.81,28.02,4,1.82,9.09
54.33,6.27,2,5.3,9.78
60.93,49.04,5,0.74,12.21
82.73,102.64,5,8.7,15.13
82.71,9.38,3,3.91,11.39
82.73,20.49,4,19.42,18.69
100.0,5.0,5,2.75,14.62
83.56,24.57,6,1.09,16.99
92.03,20.96,5,2.12,13.25
89.31,5.0,7,6.68,20.01
84.77,17.51,5,5.38,12.88
70.27,12.2,2,7.53,8.2
86.38,22.13,7,0.38,18.4
63.41,26.43,1,4.34,7.74
71.45,5.0,5,13.45,18.84
67.72,42.94,6,0.57,15.12
76.23,37.45,4,0.5,9.89
100.0,13.68,4,6.3,15.62
46.99,5.0,4,1.89,10.39
85.29,42.19,1,5.37,7.21
50.81,93.15,6,3.94,17.33
67.92,8.24,3,21.37,20.68
91.33,11.73,3,10.99,12.83
75.96,6.09,5,5.67,14.53
58.83,25.81,5,1.52,11.28
64.27,5.05,3,1.52,10.68
85.19,13.21,2,10.7,10.71
64.04,35.82,3,4.4,15.9
78.25,24.64,3,7.79,12.45
75.68,14.66,4,2.99,12.63
65.23,16.35,1,0.54,7.39
100.0,24.77,6,2.02,15.13
84.51,5.0,6,0.88,13.58
44.62,5.0,5,7.61,12.87
77.8,63.92,5,6.03,14.14
65.07,5.0,3,0.46,8.48
87.79,36.81,1,4.86,8.73
63.11,75.79,1,10.36,10.34
73.28,9.47,3,5.98,10.63
82.57,13.88,1,3.58,8.51
87.99,25.24,4,1.87,10.56
57.0,64.04,1,10.91,10.5
69.98,85.37,4,2.75,13.64
67.88,40.36,5,9.67,16.77
65.2,5.0,7,7.64,16.09
100.0,33.18,7,8.47,20.25
81.07,15.84,4,22.93,22.44
56.09,19.09,3,6.91,12.56
88.77,5.0,3,0.17,7.98
100.0,6.36,5,1.15,12.34
90.49,46.89,7,0.18,14.85
52.21,18.15,2,1.05,5.47
67.74,10.77,5,0.32,11.83
94.0,14.54,7,3.48,18.08
64.38,57.81,4,0.14,11.83
81.66,41.47,2,3.2,9.24
86.62,9.54,5,11.46,15.61
61.1,5.0,5,6.9,15.09
74.11,8.71,3,14.41,15.79
26.38,76.06,8,1.29,15.32
59.63,26.14,2,3.79,6.39
71.21,22.87,4,1.92,10.61
56.28,27.22,4,3.4,9.18
99.49,13.67,6,4.07,16.96
53.55,49.37,4,0.18,8.95
68.4,22.23,1,1.33,5.18
76.96,5.0,2,6.1,7.68
96.62,5.0,6,7.41,19.16
53.46,23.09,5,4.21,12.28
92.45,82.73,8,1.58,18.92
75.15,11.06,4,2.6,10.14
60.28,61.1,4,0.5,7.81
81.93,43.33,4,15.31,17.67
77.99,8.54,3,10.15,13.06
66.0,5.0,3,0.34,8.49
76.05,5.0,7,0.91,14.31
69.22,39.11,3,4.35,9.71
76.7,6.68,3,1.32,6.85
84.93,13.92,6,13.62,20.36
98.79,20.9,3,7.04,12.12
56.43,38.78,3,1.6,10.75
100.0,5.0,2,0.03,8.32
45.72,15.64,5,8.03,14.91
72.72,19.91,5,2.76,12.47
83.82,23.35,6,5.14,16.45
79.21,51.17,3,1.69,8.82
65.66,5.65,6,0.77,11.0
71.88,49.48,2,5.62,10.25
67.6,35.42,4,2.99,12.32
66.16,24.35,9,1.34,14.97
87.74,36.07,4,0.74,10.61
80.36,15.93,4,4.34,15.22
64.61,5.0,1,6.46,8.76
88.49,32.88,1,1.67,9.61
79.61,22.31,4,6.64,12.72
87.19,30.6,2,1.01,7.69
84.44,12.37,4,2.07,12.91
62.57,71.21,2,6.83,11.67
66.6,26.56,3,5.4,10.83
86.21,5.0,4,1.58,9.29
84.16,17.92,4,0.65,12.57
74.69,42.36,4,0.22,14.31
76.76,47.42,4,9.1,12.82
94.16,20.47,4,0.39,13.35
66.13,67.54,6,0.61,13.03
83.21,9.35,5,1.36,11.99
71.97,15.86,4,2.95,11.74
71.73,68.66,6,7.8,15.82
91.48,67.98,2,1.42,9.36
87.38,34.72,6,3.92,13.49
87.2,58.77,4,0.47,12.29
94.58,5.0,2,3.12,12.72
75.32,60.07,10,0.98,19.3
85.23,11.6,4,1.19,10.79
70.35,5.89,5,2.29,12.08
79.86,8.21,6,7.16,18.19
73.05,16.24,5,6.81,15.44
76.45,8.68,2,2.68,9.69
83.93,11.59,1,0.63,5.45
62.73,5.0,4,1.65,10.69
100.0,10.54,4,3.52,7.88
59.91,25.48,7,10.18,20.01
56.79,17.49,2,17.25,12.93
92.37,12.77,1,5.07,8.38
86.87,41.17,6,2.16,16.23
84.36,67.19,3,5.91,10.49
84.43,42.41,1,2.05,9.09
74.82,12.1,3,4.91,10.71
61.54,40.93,4,1.4,12.64
76.14,5.0,1,1.55,4.81
64.84,5.0,3,0.39,5.3
89.63,12.72,5,2.72,13.51
72.79,49.46,1,4.81,9.25
62.62,8.48,2,7.77,11.17
70.18,5.0,5,8.31,13.55
81.19,5.0,7,24.43,24.42
66.54,58.72,6,0.46,13.07
62.67,30.14,1,3.4,7.61
78.66,8.76,2,3.68,9.62
78.67,24.31,2,8.16,13.78
67.4,22.5,2,1.55,6.96
67.93,31.96,8,0.36,13.34
78.48,7.97,7,1.88,17.29
53.28,59.94,2,20.65,17.28
53.89,11.1,2,11.49,12.05
64.22,35.54,4,2.51,12.21
71.8,5.0,7,10.45,21.29
79.66,13.99,8,0.17,16.27
97.13,13.0,3,1.89,12.28
87.86,23.52,4,6.49,14.86
72.6,5.0,2,1.25,6.36
74.71,46.84,3,1.11,9.22
59.96,7.37,3,9.9,13.49
74.72,33.91,7,4.78,16.13
70.67,48.77,2,22.56,19.96
79.84,24.76,6,0.72,14.0
62.59,40.51,2,2.2,8.48
82.79,32.53,2,1.86,10.77
97.99,13.18,3,10.61,15.46
73.37,49.64,7,1.47,15.84
81.03,10.47,3,2.18,9.69
85.35,25.4,2,0.77,7.87
68.98,41.04,6,7.47,17.34
78.36,14.29,1,1.36,8.38
75.19,10.82,2,0.35,6.2
76.47,18.45,3,2.86,9.03
63.4,51.11,3,2.48,11.69
75.37,79.74,1,0.98,6.24
82.47,23.63,4,0.72,11.2
96.77,32.49,5,11.34,17.66
89.39,70.08,3,0.35,7.79
100.0,5.0,1,0.52,7.14
63.49,7.92,4,1.41,11.68
88.08,37.02,5,15.27,20.06
77.75,52.07,5,0.45,10.26
100.0,58.35,1,8.46,11.87
62.88,16.09,7,11.13,18.34
62.4,5.0,4,2.37,6.46
66.01,17.28,1,1.74,5.84
43.14,7.87,8,5.66,17.89
67.11,10.33,3,6.06,12.83
63.61,44.39,1,7.57,11.84
77.26,5.0,2,8.88,12.36
80.13,52.73,7,1.56,17.57
100.0,16.74,4,5.81,12.26
89.26,27.19,4,0.72,13.71
66.35,5.0,3,3.57,11.59
61.52,12.35,2,4.75,8.1
82.38,5.0,5,0.88,13.17
55.2,97.75,2,0.4,8.46
100.0,49.39,4,1.08,14.57
92.69,18.47,6,2.73,15.08
67.96,7.59,3,10.94,12.37
49.3,81.3,5,3.8,12.48
95.31,12.68,3,6.9,14.27
73.28,5.27,4,0.96,7.35
93.57,24.85,2,0.56,3.88
51.08,86.35,8,1.37,18.02
66.01,5.0,4,1.88,10.74
75.08,8.16,5,3.97,13.4
75.7,83.64,3,10.65,13.05
68.25,5.63,4,2.78,8.33
84.34,5.0,6,3.66,14.18
58.99,25.33,3,0.02,8.43
72.86,59.38,5,0.17,11.34
76.8,19.45,6,0.44,14.73
82.72,120.0,4,6.0,13.71
85.67,34.11,3,3.33,10.24
58.13,5.0,5,1.07,12.08
51.99,120.0,2,4.49,9.28
94.17,15.72,7,3.93,16.95
79.98,10.17,4,0.46,9.44
63.77,24.49,3,5.11,9.41
98.27,10.89,2,7.29,12.27
76.74,5.0,2,1.69,8.49
92.69,5.0,2,5.82,10.97
76.01,17.91,1,1.11,5.23
100.0,54.4,5,7.07,16.64
100.0,25.48,4,12.14,19.89
71.27,120.0,1,2.92,6.39
89.57,10.14,3,1.4,12.68
84.68,9.87,9,2.55,19.32
95.53,5.22,3,1.44,9.81
60.53,5.38,5,0.01,12.05
85.29,10.07,7,5.26,14.46
90.88,47.23,6,0.22,16.51
48.62,70.86,4,1.18,12.99
57.25,110.77,4,6.41,15.55
44.41,7.93,6,5.48,10.94
70.96,63.93,3,0.38,10.45
85.76,11.94,2,5.39,12.65
97.54,5.0,4,13.34,19.94
76.11,61.21,1,0.39,4.41
99.43,30.33,5,2.69,15.84
54.3,5.4,3,6.54,13.27
49.45,16.85,5,5.51,13.05
74.17,10.16,4,1.28,8.34
80.76,40.04,1,0.89,7.89
74.51,18.12,9,7.67,22.94
43.99,120.0,4,15.65,17.81
73.66,5.0,2,7.3,8.63
55.43,13.16,6,16.51,21.72
85.05,19.73,5,4.64,13.25
80.5,20.98,6,13.23,20.59
60.9,11.39,6,5.86,17.5
67.29,39.2,5,11.98,15.02
59.11,62.32,2,0.88,8.8
74.06,83.77,2,8.45,12.02
89.33,49.06,4,1.1,11.56
60.21,57.03,4,0.14,10.8
82.56,23.99,8,3.64,17.19
67.05,52.44,3,1.92,7.92
63.11,10.85,2,0.22,3.77
73.39,15.25,1,19.64,17.09
59.47,11.43,5,5.49,12.85
66.7,18.9,3,11.6,14.81
57.03,10.09,3,30.0,21.79
100.0,97.8,1,2.49,7.63
75.53,11.26,3,1.47,10.18
64.5,5.0,4,1.02,10.31
78.21,22.45,3,3.62,10.24
73.32,5.0,1,4.66,8.03
71.69,5.0,1,3.2,5.33
84.21,7.43,5,2.45,14.65
86.36,18.73,3,0.92,11.53
67.04,17.04,1,2.92,7.73
66.36,48.24,8,0.45,15.79
70.87,40.35,8,10.01,21.31
40.47,16.67,1,0.24,6.27
52.27,12.18,5,2.4,13.44
95.5,11.41,2,0.53,11.22
99.67,44.62,7,7.46,18.79
71.26,5.0,1,1.88,4.78
83.65,5.0,3,0.6,9.27
79.67,47.62,7,3.79,17.78
100.0,19.45,6,12.4,20.31
91.79,5.0,2,11.97,13.07
73.08,8.06,3,1.44,10.91
60.67,80.87,4,6.36,13.42
50.9,58.88,3,0.15,6.28
78.05,37.11,4,0.71,9.23
63.65,19.75,2,3.46,8.61
53.67,22.04,4,1.3,14.2
65.3,110.96,3,8.0,12.15
58.78,101.24,6,13.37,19.84
100.0,7.27,7,0.02,19.24
88.22,50.0,3,1.33,9.68
74.88,6.59,4,2.9,11.98
97.2,7.21,2,4.14,12.86
76.16,33.82,2,12.38,12.13
62.08,15.58,4,11.12,14.46
97.85,80.45,1,5.07,9.54
83.08,5.0,4,1.49,8.7
59.44,21.49,3,7.65,14.01
72.14,75.22,11,1.13,21.05
61.87,70.34,3,16.79,15.84
54.26,5.11,4,0.03,8.15
88.89,13.7,10,4.22,23.17
100.0,28.96,5,0.46,13.38
54.02,5.21,3,2.62,7.41
83.44,103.28,3,5.04,13.53
65.24,73.86,3,5.85,13.14
67.69,5.48,3,7.7,11.79
66.11,5.0,3,4.5,9.79
62.04,5.0,1,1.45,6.93
75.73,72.05,4,11.0,16.22
62.54,6.46,6,8.33,18.81
79.06,16.15,3,0.87,8.02
74.25,17.87,4,8.76,13.22
71.42,27.41,3,17.99,16.17
61.39,5.0,4,5.07,11.33
66.35,7.71,4,1.66,10.28
86.33,80.42,6,4.66,15.0
82.51,71.71,3,2.1,11.01
60.34,45.6,6,5.63,16.44
76.49,5.0,3,3.94,8.18
86.27,11.88,1,13.26,11.86
49.96,29.66,6,4.81,15.25
83.15,9.66,4,1.2,9.29
65.06,72.1,7,6.46,17.71
83.56,30.14,4,1.79,13.21
63.55,5.0,7,1.59,17.25
47.93,71.91,1,2.49,7.0
50.59,94.94,2,0.06,6.89
75.72,5.0,1,17.39,13.31
78.9,22.8,4,3.8,13.59
61.44,10.84,7,7.42,19.17
84.58,14.97,2,1.49,6.49
50.08,5.94,2,6.86,10.4
74.01,25.89,9,4.19,18.81
56.83,95.09,4,2.76,10.52
65.22,20.98,3,17.65,16.7
75.71,5.0,9,3.4,20.56
62.09,29.03,2,5.36,9.73
69.23,12.48,3,0.08,8.63
90.09,58.12,3,1.79,11.4
66.35,17.11,2,10.98,12.79
87.54,6.43,2,7.11,10.87
58.05,6.36,6,3.85,14.88
82.95,43.93,1,11.52,11.15
96.62,9.26,10,3.33,22.63
37.93,43.73,4,4.18,12.0
63.05,6.92,4,2.41,11.52
83.66,11.64,4,4.84,13.92
71.95,18.79,1,1.92,7.07
80.57,86.04,6,2.43,17.44
65.94,80.53,3,16.96,14.21
76.3,6.95,2,0.59,8.51
72.66,13.31,2,0.56,10.1
92.52,5.0,2,0.22,6.89
78.82,21.4,6,1.93,13.16
80.06,18.52,10,2.54,22.51
68.82,69.31,3,0.5,7.95
67.69,79.78,4,3.98,11.71
68.51,14.51,3,4.38,10.61
80.92,20.3,4,6.95,12.66
68.69,67.97,2,18.64,18.2
79.35,49.31,9,4.83,19.52
100.0,5.0,6,0.59,14.92
88.07,11.57,3,0.46,9.75
70.11,16.43,4,7.52,16.03
93.02,7.83,2,5.25,12.16
68.88,6.68,3,0.88,7.7
44.43,5.0,5,1.46,8.64
59.88,30.93,2,6.94,11.23
46.94,9.14,4,4.18,9.61
69.73,5.0,2,4.4,8.26
75.28,7.88,5,1.18,10.39
100.0,48.57,3,4.96,13.81
79.9,57.21,4,7.36,13.66
71.71,19.8,5,10.83,16.78
87.44,16.14,1,6.67,9.45
41.83,114.3,3,4.29,10.92
78.53,6.72,3,5.59,12.33
86.56,7.28,2,3.32,8.74
52.82,10.35,5,1.29,9.84
92.16,5.69,2,10.69,10.26
80.08,14.31,6,3.8,15.3
68.77,72.52,2,4.51,9.67
84.49,28.66,3,23.08,19.68
100.0,15.93,6,21.0,24.86
77.73,81.73,6,4.41,17.74
78.72,5.0,2,0.17,8.77
68.11,7.08,3,2.52,6.98
62.25,25.03,3,13.85,14.41
87.46,28.68,6,1.7,16.14
62.16,5.0,1,30.0,22.09
76.07,15.48,1,0.44,4.56
67.84,31.42,7,4.2,18.58
82.18,35.93,6,3.62,13.49
80.0,30.49,2,1.47,9.97
90.56,11.59,7,14.84,22.22
67.35,5.0,2,4.83,11.21
70.95,16.71,7,1.31,14.28
60.32,5.0,4,2.42,9.85
68.34,88.48,2,6.39,10.88
80.66,19.34,6,1.77,11.93
86.35,11.45,3,10.58,11.66
61.17,43.61,4,0.91,11.0
88.04,20.67,1,1.54,8.5
95.33,11.13,3,0.78,10.75
81.2,50.13,4,0.55,9.29
100.0,60.56,3,1.79,12.12
63.39,33.53,2,30.0,20.24
56.33,5.0,5,0.5,11.26
48.32,25.06,1,1.2,6.63
97.44,43.23,2,1.58,9.94
84.82,5.0,1,4.83,10.44
74.17,7.79,6,6.84,16.03
79.2,64.24,1,6.97,9.69
58.12,5.0,2,0.04,6.11
100.0,41.92,6,5.28,15.32
76.94,19.26,3,4.98,10.55
76.64,17.76,2,3.65,8.48
85.89,5.0,3,2.38,9.64
82.22,51.34,2,7.98,12.36
78.36,13.38,8,2.11,14.97
63.14,23.35,13,1.31,21.98
82.07,33.93,3,1.86,11.8
100.0,36.38,6,2.9,13.04
95.18,93.69,1,1.2,9.35
98.9,22.74,4,4.68,13.1
67.33,15.31,3,10.78,13.75
60.16,92.18,1,4.53,10.64
73.11,30.83,3,2.96,9.95
75.84,10.62,3,7.97,13.39
91.41,5.0,6,6.89,17.19
49.61,55.46,6,2.29,13.38
97.94,13.49,3,4.63,11.59
72.63,32.41,4,6.54,14.5
68.6,19.09,7,1.41,13.85
59.82,6.65,3,2.28,7.04
50.18,27.62,6,0.56,12.36
87.35,5.0,4,21.98,21.73
76.1,16.0,5,0.45,9.06
55.65,23.73,2,0.92,6.62
55.57,17.18,6,3.27,11.86
69.96,41.43,6,10.02,19.14
100.0,52.79,2,2.2,7.27
71.11,44.25,2,7.32,13.84
52.45,5.0,2,5.64,8.02
71.31,6.47,4,5.09,10.92
70.91,23.08,5,9.32,15.67
34.55,81.92,3,0.07,8.46
74.19,54.05,1,13.24,14.06
71.54,55.46,6,8.84,17.51
85.44,10.84,2,13.89,12.24
100.0,16.83,7,7.89,17.91
91.9,19.09,5,10.54,18.11
70.97,5.14,3,1.13,10.18
58.4,5.0,3,1.92,10.14
100.0,88.07,4,1.89,13.67
75.89,8.26,4,0.58,11.67
75.21,8.23,3,6.54,14.54
74.64,5.0,5,0.73,13.47
77.97,79.14,3,0.27,11.24
72.83,26.01,6,7.47,15.6
66.4,32.99,5,11.75,18.69
66.8,72.77,4,7.22,14.86
74.51,12.72,2,8.72,12.28
66.85,29.15,5,4.53,15.48
64.31,5.0,5,10.93,16.8
76.6,6.2,6,3.43,14.5
71.18,53.38,3,22.25,18.47
97.56,43.67,8,0.55,17.43
35.24,12.95,6,8.28,15.44
91.37,14.19,5,5.13,15.29
93.69,22.88,4,4.35,13.6
43.9,5.0,4,6.47,12.95
69.86,8.28,9,9.17,23.02
69.43,7.0,5,9.93,15.96
53.89,8.65,8,0.96,14.05
63.33,49.18,3,1.1,9.61
58.34,9.84,5,0.08,13.99
100.0,6.38,2,0.71,8.94
89.04,21.05,5,1.53,12.62
94.07,60.22,3,6.38,14.2
85.83,8.29,5,3.23,14.44
58.06,5.0,4,7.09,13.41
67.13,13.22,4,3.33,13.3
82.34,41.31,6,4.06,16.41
56.67,24.0,2,0.59,8.52
85.69,50.91,3,7.49,13.73
71.4,96.26,5,7.1,18.49
69.38,47.2,7,1.84,17.48
85.66,27.78,3,1.99,11.62
81.66,20.4,1,1.24,7.73
69.59,5.0,3,8.41,15.72
92.39,120.0,5,6.87,19.17
58.78,14.51,4,4.7,10.26
84.24,5.0,5,1.36,12.85
83.9,32.96,2,0.94,7.82
70.36,10.03,2,0.26,9.91
79.89,26.44,5,0.23,13.93
56.23,26.51,4,1.04,12.82
88.86,17.7,3,0.53,8.36
72.23,54.26,10,4.06,23.2
67.16,9.24,5,2.22,10.07
90.74,17.86,4,2.94,9.92
64.43,23.15,4,4.51,11.27
53.87,32.69,6,5.38,17.2
51.65,45.97,4,5.22,10.47
84.09,15.07,1,1.51,6.69
55.79,31.16,2,8.29,12.24
100.0,5.0,3,12.49,17.1
43.77,80.93,7,1.9,18.31
100.0,14.49,4,0.09,11.29
78.17,39.23,3,11.47,14.14
73.55,5.0,9,12.86,22.05
66.83,6.89,5,0.26,10.53
80.99,20.03,3,0.02,7.24
74.44,63.17,3,8.48,10.82
91.55,22.48,3,1.79,13.29
76.71,79.72,5,12.3,18.89
77.25,19.84,3,1.22,13.19
69.55,20.23,5,9.87,14.99
74.15,5.0,5,0.36,10.83
79.62,48.68,2,1.51,7.38
49.35,8.51,2,18.08,13.69
54.78,68.96,2,1.31,8.86
86.15,72.51,1,0.71,8.22
77.56,86.1,4,9.73,17.49
72.24,22.03,1,0.63,7.81
75.28,33.91,4,0.51,12.25
80.21,45.22,8,1.95,16.23
66.9,5.0,3,5.04,9.66
63.33,27.56,3,6.2,11.41
77.94,5.0,3,10.65,19.4
60.32,20.65,5,3.89,13.97
81.12,5.05,3,2.5,10.05
49.46,6.06,4,2.22,10.7
90.44,13.63,8,9.38,20.54
82.09,16.99,5,6.43,15.5
78.84,29.28,5,11.79,19.26
89.74,5.0,1,16.63,14.34
99.98,21.02,5,1.78,12.61
90.22,6.05,7,3.77,16.88
47.39,25.6,7,5.0,15.31
55.81,30.43,2,0.89,4.71
65.63,24.41,3,0.27,7.47
75.39,40.22,2,10.12,10.41
82.76,12.27,3,3.83,8.9
64.11,43.46,7,4.23,14.83
77.8,17.01,3,4.05,12.13
63.67,19.86,4,7.03,15.26
65.83,31.33,4,0.79,7.9
53.9,5.0,7,4.76,18.03
61.15,31.84,1,3.17,4.98
54.72,28.92,4,11.36,16.02
60.36,11.13,4,3.67,11.42
90.8,5.0,5,14.32,20.24
60.76,5.0,1,2.18,3.96
100.0,77.01,1,17.04,13.59
82.4,35.07,2,10.4,11.7
77.77,5.0,1,4.39,8.31
62.12,13.24,4,2.18,13.35
85.5,26.93,2,2.36,7.36
66.37,54.16,1,7.41,9.28
76.83,5.0,3,4.35,9.47
100.0,8.1,2,2.57,9.39
73.56,66.15,2,5.05,7.41
92.24,5.0,4,6.61,16.25
64.45,6.75,5,0.12,10.93
74.48,95.84,1,0.47,8.43
100.0,28.51,1,0.5,6.88
65.6,9.1,4,1.32,10.38
100.0,5.0,5,2.78,15.67
85.62,5.0,4,8.14,14.63
66.56,8.42,2,2.16,7.8
84.49,63.98,3,0.09,8.64
89.59,16.13,7,3.3,16.1
